Participant_ID,Folder,File,MOS_Technical,MOS_Semantic
XIMPEOVO,72,harvard_audio.wav,4,5
XIMPEOVO,57,harvard_audio.wav,5,3
XIMPEOVO,45,pgd.wav,2,2
XIMPEOVO,72,waveform.wav,1,1
XIMPEOVO,57,pgd.wav,2,3
XIMPEOVO,28,harvard_audio.wav,5,3
XIMPEOVO,41,tts.wav,4,5
XIMPEOVO,8,smack.wav,2,2
XIMPEOVO,28,smack.wav,1,1
XIMPEOVO,70,pgd.wav,3,4
XIMPEOVO,72,smack.wav,1,1
XIMPEOVO,8,pgd.wav,3,2
XIMPEOVO,41,pgd.wav,3,5
XIMPEOVO,45,smack.wav,1,1
XIMPEOVO,57,smack.wav,2,2
XIMPEOVO,8,harvard_audio.wav,5,2
XIMPEOVO,87,smack.wav,1,1
XIMPEOVO,52,tts.wav,5,4
XIMPEOVO,87,harvard_audio.wav,5,5
XIMPEOVO,28,pgd.wav,3,4
XIMPEOVO,57,tts.wav,4,3
XIMPEOVO,28,tts.wav,5,4
XIMPEOVO,87,pgd.wav,3,5
XIMPEOVO,87,tts.wav,5,5
XIMPEOVO,87,waveform.wav,1,1
XIMPEOVO,52,smack.wav,1,1
XIMPEOVO,72,pgd.wav,3,5
XIMPEOVO,45,waveform.wav,1,1
XIMPEOVO,70,smack.wav,2,4
XIMPEOVO,52,pgd.wav,3,4
XIMPEOVO,41,smack.wav,1,1
XIMPEOVO,45,tts.wav,5,5
XIMPEOVO,28,waveform.wav,2,4
XIMPEOVO,8,waveform.wav,2,2
XIMPEOVO,41,waveform.wav,1,1
XIMPEOVO,5,tts.wav,5,5
T8V2LABN,72,smack.wav,1,1
T8V2LABN,52,smack.wav,2,2
T8V2LABN,28,pgd.wav,5,4
T8V2LABN,45,harvard_audio.wav,5,4
T8V2LABN,87,smack.wav,2,1
T8V2LABN,28,tts.wav,5,3
T8V2LABN,41,tts.wav,5,5
T8V2LABN,70,tts.wav,5,5
T8V2LABN,45,pgd.wav,5,5
T8V2LABN,5,pgd.wav,5,5
T8V2LABN,5,smack.wav,2,4
T8V2LABN,72,pgd.wav,5,5
T8V2LABN,72,waveform.wav,1,1
T8V2LABN,8,smack.wav,1,2
T8V2LABN,57,harvard_audio.wav,5,5
T8V2LABN,87,pgd.wav,5,5
T8V2LABN,28,waveform.wav,3,3
T8V2LABN,8,pgd.wav,5,5
T8V2LABN,72,tts.wav,5,5
T8V2LABN,52,tts.wav,5,5
T8V2LABN,70,harvard_audio.wav,5,5
T8V2LABN,41,pgd.wav,5,5
T8V2LABN,52,harvard_audio.wav,5,5
T8V2LABN,8,harvard_audio.wav,5,4
T8V2LABN,87,harvard_audio.wav,5,5
T8V2LABN,87,waveform.wav,1,1
T8V2LABN,57,smack.wav,2,2
T8V2LABN,57,tts.wav,4,5
T8V2LABN,45,smack.wav,2,2
T8V2LABN,28,smack.wav,2,2
T8V2LABN,57,waveform.wav,1,1
T8V2LABN,8,waveform.wav,2,4
T8V2LABN,28,harvard_audio.wav,5,3
T8V2LABN,41,waveform.wav,1,1
T8V2LABN,70,waveform.wav,1,1
T8V2LABN,5,harvard_audio.wav,5,5
T8V2LABN,87,tts.wav,5,4
T8V2LABN,70,smack.wav,3,3
T8V2LABN,5,waveform.wav,1,1
T8V2LABN,52,pgd.wav,5,5
T8V2LABN,72,harvard_audio.wav,5,5
T8V2LABN,8,tts.wav,5,5
T8V2LABN,52,waveform.wav,1,1
T8V2LABN,5,tts.wav,5,5
T8V2LABN,57,pgd.wav,5,5
T8V2LABN,45,waveform.wav,1,1
T8V2LABN,41,smack.wav,2,3
T8V2LABN,70,pgd.wav,5,5
T8V2LABN,41,harvard_audio.wav,5,5
T8V2LABN,45,tts.wav,5,5
7GKGQFA4,45,waveform.wav,1,1
7GKGQFA4,45,smack.wav,2,2
7GKGQFA4,5,harvard_audio.wav,5,5
7GKGQFA4,8,waveform.wav,2,3
7GKGQFA4,41,waveform.wav,1,1
7GKGQFA4,57,pgd.wav,3,2
7GKGQFA4,8,smack.wav,1,2
7GKGQFA4,45,tts.wav,5,5
7GKGQFA4,41,pgd.wav,5,5
7GKGQFA4,72,tts.wav,5,5
7GKGQFA4,87,pgd.wav,4,5
7GKGQFA4,70,pgd.wav,5,5
7GKGQFA4,87,tts.wav,5,5
7GKGQFA4,45,harvard_audio.wav,5,5
7GKGQFA4,72,waveform.wav,1,1
7GKGQFA4,41,smack.wav,1,1
7GKGQFA4,87,smack.wav,1,1
7GKGQFA4,28,harvard_audio.wav,5,5
7GKGQFA4,28,pgd.wav,4,5
7GKGQFA4,72,smack.wav,1,1
7GKGQFA4,57,tts.wav,5,5
7GKGQFA4,70,harvard_audio.wav,5,5
7GKGQFA4,52,smack.wav,1,1
7GKGQFA4,41,tts.wav,5,5
7GKGQFA4,57,smack.wav,1,2
7GKGQFA4,5,tts.wav,5,5
7GKGQFA4,52,waveform.wav,1,1
7GKGQFA4,28,waveform.wav,2,3
7GKGQFA4,87,waveform.wav,1,1
7GKGQFA4,28,tts.wav,5,5
7GKGQFA4,70,waveform.wav,1,1
7GKGQFA4,52,harvard_audio.wav,5,5
7GKGQFA4,5,waveform.wav,1,1
7GKGQFA4,72,pgd.wav,5,5
7GKGQFA4,72,harvard_audio.wav,5,5
7GKGQFA4,5,pgd.wav,4,5
7GKGQFA4,52,tts.wav,5,5
7GKGQFA4,87,harvard_audio.wav,5,5
7GKGQFA4,41,harvard_audio.wav,5,5
7GKGQFA4,45,pgd.wav,5,5
7GKGQFA4,8,harvard_audio.wav,5,5
7GKGQFA4,8,pgd.wav,5,5
7GKGQFA4,70,tts.wav,5,5
7GKGQFA4,5,smack.wav,1,2
7GKGQFA4,28,smack.wav,1,1
7GKGQFA4,8,tts.wav,5,5
7GKGQFA4,52,pgd.wav,5,5
7GKGQFA4,57,waveform.wav,1,1
7GKGQFA4,70,smack.wav,1,2
7GKGQFA4,57,harvard_audio.wav,5,5
5VQF3WBR,5,tts.wav,1,2
5VQF3WBR,45,pgd.wav,1,1
5VQF3WBR,5,pgd.wav,1,2
5VQF3WBR,8,harvard_audio.wav,5,2
5VQF3WBR,52,pgd.wav,1,1
5VQF3WBR,52,harvard_audio.wav,5,1
5VQF3WBR,87,harvard_audio.wav,3,2
5VQF3WBR,41,tts.wav,5,2
5VQF3WBR,41,harvard_audio.wav,5,2
5VQF3WBR,5,smack.wav,1,1
5VQF3WBR,57,pgd.wav,1,2
5VQF3WBR,72,smack.wav,1,1
5VQF3WBR,52,smack.wav,1,1
5VQF3WBR,52,tts.wav,5,2
5VQF3WBR,87,smack.wav,1,1
5VQF3WBR,52,waveform.wav,1,1
5VQF3WBR,70,waveform.wav,1,1
5VQF3WBR,45,smack.wav,1,1
5VQF3WBR,28,waveform.wav,1,1
5VQF3WBR,57,waveform.wav,1,1
5VQF3WBR,57,tts.wav,5,2
5VQF3WBR,70,harvard_audio.wav,5,2
5VQF3WBR,5,harvard_audio.wav,5,2
5VQF3WBR,57,smack.wav,1,1
5VQF3WBR,28,harvard_audio.wav,5,2
5VQF3WBR,57,harvard_audio.wav,5,2
5VQF3WBR,70,smack.wav,1,1
5VQF3WBR,8,pgd.wav,1,2
5VQF3WBR,8,smack.wav,1,1
5VQF3WBR,28,smack.wav,1,1
5VQF3WBR,70,pgd.wav,1,2
5VQF3WBR,72,waveform.wav,1,1
5VQF3WBR,72,pgd.wav,1,2
5VQF3WBR,45,tts.wav,5,1
5VQF3WBR,45,waveform.wav,1,1
5VQF3WBR,41,waveform.wav,1,1
5VQF3WBR,8,waveform.wav,1,1
5VQF3WBR,72,tts.wav,5,2
5VQF3WBR,70,tts.wav,5,3
5VQF3WBR,87,pgd.wav,1,3
5VQF3WBR,45,harvard_audio.wav,5,2
5VQF3WBR,87,tts.wav,5,2
5VQF3WBR,8,tts.wav,5,1
5VQF3WBR,28,pgd.wav,1,1
5VQF3WBR,72,harvard_audio.wav,5,2
5VQF3WBR,41,smack.wav,1,1
5VQF3WBR,87,waveform.wav,1,1
5VQF3WBR,28,tts.wav,5,2
5VQF3WBR,5,waveform.wav,1,1
5VQF3WBR,41,pgd.wav,1,2
